hour_ts,oblast_id,lead_hours,y_alert_active,oblast_name,centroid_lat,centroid_lon,temp_c,wind_speed,precip_mm,cloud_cover,self_alert_active,neighbor_alert_count,neighbor_alert_frac,hour_of_day,dow,month,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,osint_mig31_airborne,osint_tu95_takeoff,osint_mass_national,osint_mass_oblast,hours_since_mig31,hours_since_tu95,year
2022-07-16 21:00:00+00,9,2,false,Kherson,46.65,33.4,21.6,7.1,0.0,10.0,false,0,0.0,21,6,7,true,-0.707107,0.707107,-0.781831,0.62349,false,false,false,false,,6,2022
2022-07-16 22:00:00+00,9,2,false,Kherson,46.65,33.4,20.6,7.3,0.0,3.0,false,0,0.0,22,6,7,true,-0.5,0.866025,-0.781831,0.62349,false,false,false,false,,7,2022
2022-07-16 23:00:00+00,9,2,false,Kherson,46.65,33.4,19.9,8.0,0.0,1.0,false,2,0.5,23,6,7,true,-0.258819,0.965926,-0.781831,0.62349,false,false,false,false,,8,2022
2022-07-17 00:00:00+00,9,2,false,Kherson,46.65,33.4,20.8,7.4,0.0,6.0,false,3,0.75,0,0,7,true,0.0,1.0,0.0,1.0,false,false,false,false,,9,2022
2022-07-17 01:00:00+00,9,2,false,Kherson,46.65,33.4,20.2,7.7,0.0,16.0,false,1,0.25,1,0,7,true,0.258819,0.965926,0.0,1.0,false,false,false,false,,10,2022
2022-07-17 02:00:00+00,9,2,false,Kherson,46.65,33.4,20.0,8.3,0.0,44.0,false,1,0.25,2,0,7,true,0.5,0.866025,0.0,1.0,false,false,false,false,,11,2022
2022-07-17 03:00:00+00,9,2,false,Kherson,46.65,33.4,20.3,7.2,0.0,100.0,false,1,0.25,3,0,7,true,0.707107,0.707107,0.0,1.0,false,false,false,false,,12,2022
2022-07-17 04:00:00+00,9,2,false,Kherson,46.65,33.4,21.5,6.5,0.0,65.0,false,1,0.25,4,0,7,true,0.866025,0.5,0.0,1.0,false,false,false,false,,13,2022
2022-07-17 05:00:00+00,9,2,false,Kherson,46.65,33.4,22.7,8.1,0.0,61.0,false,1,0.25,5,0,7,true,0.965926,0.258819,0.0,1.0,false,false,false,false,,14,2022
2022-07-17 06:00:00+00,9,1,false,Kherson,46.65,33.4,25.0,7.9,0.0,55.0,false,2,0.5,6,0,7,true,1.0,0.0,0.0,1.0,false,false,false,false,,15,2022
2022-07-17 07:00:00+00,9,2,false,Kherson,46.65,33.4,27.0,8.0,0.0,36.0,false,0,0.0,7,0,7,true,0.965926,-0.258819,0.0,1.0,false,false,false,false,,16,2022
2022-07-17 08:00:00+00,9,2,false,Kherson,46.65,33.4,27.8,7.1,0.0,89.0,false,0,0.0,8,0,7,true,0.866025,-0.5,0.0,1.0,false,false,false,false,,17,2022
2022-07-17 09:00:00+00,9,1,false,Kherson,46.65,33.4,22.4,16.8,11.7,99.0,false,0,0.0,9,0,7,true,0.707107,-0.707107,0.0,1.0,false,false,false,false,,18,2022
2022-07-17 10:00:00+00,9,2,false,Kherson,46.65,33.4,22.0,2.7,0.2,18.0,false,0,0.0,10,0,7,true,0.5,-0.866025,0.0,1.0,false,false,false,false,,19,2022
