event_ts,feature_key,scope,oblast,value_bool
2022-02-24T22:43:47+00:00,mass_attack_active,oblast,kyiv,false
2022-02-26T12:35:31+00:00,mass_attack_active,national,,true
2022-02-27T08:54:21+00:00,mass_attack_active,national,,true
2022-02-27T19:34:42+00:00,mass_attack_active,oblast,chernihiv,true
2022-02-28T17:06:03+00:00,mass_attack_active,national,,true
2022-03-01T13:30:00+00:00,mass_attack_active,oblast,kyiv,true
2022-03-01T18:40:26+00:00,mass_attack_active,oblast,kharkiv,true
2022-03-04T13:00:04+00:00,mass_attack_active,national,,true
2022-03-06T16:57:02+00:00,tu_95_takeoff,national,,false
2022-03-08T16:43:55+00:00,mass_attack_active,national,,true
2022-03-09T22:47:32+00:00,mass_attack_active,oblast,donetsk,true
2022-03-12T04:56:39+00:00,mass_attack_active,oblast,donetsk,true
2022-03-12T22:27:24+00:00,mass_attack_active,national,,true
2022-03-14T08:36:27+00:00,mass_attack_active,national,,true
2022-03-14T11:03:04+00:00,mass_attack_active,national,,true
2022-03-16T22:18:21+00:00,mass_attack_active,oblast,kherson,true
2022-03-18T23:02:35+00:00,mass_attack_active,oblast,chernihiv,true
2022-03-19T12:03:50+00:00,mass_attack_active,oblast,donetsk,true
2022-03-20T10:33:32+00:00,mass_attack_active,oblast,donetsk,true
2022-03-22T11:15:49+00:00,mass_attack_active,oblast,chernihiv,true
2022-03-25T17:01:03+00:00,mass_attack_active,oblast,vinnytsia,true
2022-03-25T23:24:17+00:00,mass_attack_active,national,,true
2022-03-26T22:07:12+00:00,mass_attack_active,oblast,lviv,true
2022-03-27T22:31:55+00:00,mass_attack_active,oblast,kharkiv,true
2022-03-28T10:02:32+00:00,mass_attack_active,oblast,donetsk,true
2022-03-30T09:38:32+00:00,mass_attack_active,oblast,donetsk,true
2022-03-31T17:56:47+00:00,mass_attack_active,national,,false
2022-04-01T18:52:02+00:00,mass_attack_active,national,,true
2022-04-03T17:51:32+00:00,mass_attack_active,national,,true
2022-04-04T09:16:12+00:00,mass_attack_active,oblast,donetsk,true
2022-04-05T04:29:47+00:00,mass_attack_active,oblast,donetsk,true
2022-04-05T21:14:18+00:00,mass_attack_active,national,,true
2022-04-07T15:27:06+00:00,mass_attack_active,oblast,donetsk,true
2022-04-09T05:03:56+00:00,mass_attack_active,oblast,donetsk,true
2022-04-09T15:41:56+00:00,mass_attack_active,oblast,donetsk,true
2022-04-15T16:31:11+00:00,mass_attack_active,oblast,donetsk,true
2022-04-16T07:37:48+00:00,mass_attack_active,oblast,lviv,true
2022-04-16T16:11:54+00:00,mass_attack_active,oblast,donetsk,true
2022-04-17T05:12:54+00:00,mass_attack_active,oblast,chernihiv,true
2022-04-17T15:45:54+00:00,mass_attack_active,oblast,donetsk,true
2022-04-18T04:24:25+00:00,mass_attack_active,oblast,donetsk,true
2022-04-19T04:16:44+00:00,mass_attack_active,oblast,donetsk,true
2022-04-20T15:22:41+00:00,mass_attack_active,oblast,donetsk,false
2022-04-23T13:48:51+00:00,tu_95_takeoff,national,,false
2022-04-25T08:58:09+00:00,mass_attack_active,national,,true
2022-04-25T08:58:09+00:00,tu_95_takeoff,national,,false
2022-04-26T04:03:07+00:00,mass_attack_active,oblast,donetsk,true
2022-04-27T04:17:33+00:00,mass_attack_active,oblast,donetsk,true
2022-04-28T16:50:42+00:00,mass_attack_active,oblast,chernihiv,true
2022-04-29T16:00:21+00:00,mass_attack_active,oblast,donetsk,true
2022-04-30T04:17:56+00:00,mass_attack_active,oblast,donetsk,true
2022-05-01T05:39:13+00:00,mass_attack_active,oblast,donetsk,true
2022-05-01T16:01:46+00:00,mass_attack_active,oblast,donetsk,true
2022-05-02T04:11:20+00:00,mass_attack_active,oblast,chernihiv,true
2022-05-02T16:13:22+00:00,mass_attack_active,oblast,donetsk,true
2022-05-02T21:06:36+00:00,mass_attack_active,national,,true
2022-05-03T15:33:42+00:00,mass_attack_active,national,,true
2022-05-03T21:01:56+00:00,mass_attack_active,oblast,dnipropetrovsk,true
2022-05-03T21:01:56+00:00,tu_95_takeoff,national,,true
2022-05-04T03:55:35+00:00,mass_attack_active,oblast,dnipropetrovsk,true
2022-05-04T16:07:16+00:00,mass_attack_active,national,,true
2022-05-04T21:15:55+00:00,mass_attack_active,national,,true
2022-05-05T15:14:40+00:00,mass_attack_active,oblast,donetsk,true
2022-05-06T15:47:34+00:00,mass_attack_active,oblast,cherkasy,true
